Facies,Formation,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Latitude,Longitude
3,A1 SH,2887.5,88.71,0.612,6.7,10.605,,1,1,37.6747257,-101.1675259
3,A1 SH,2888,92.71,0.583,11,12.515,,1,0.974,37.6747257,-101.1675259
3,A1 SH,2888.5,94.54,0.579,12,13.41,,1,0.949,37.6747257,-101.1675259
3,A1 SH,2889,95.31,0.579,11.5,13.75,,1,0.923,37.6747257,-101.1675259
3,A1 SH,2889.5,93.79,0.572,10.3,13.405,,1,0.897,37.6747257,-101.1675259
3,A1 SH,2890,86,0.547,9.7,12.92,,1,0.872,37.6747257,-101.1675259
3,A1 SH,2890.5,83.66,0.531,9.9,12.75,,1,0.846,37.6747257,-101.1675259
2,A1 SH,2891,84.96,0.516,10,12.71,,1,0.821,37.6747257,-101.1675259
2,A1 SH,2891.5,88.93,0.515,9.4,13.51,,1,0.795,37.6747257,-101.1675259
3,A1 SH,2892,91.35,0.521,7.4,15.33,,1,0.769,37.6747257,-101.1675259
3,A1 SH,2892.5,92.43,0.521,7.4,16.65,,1,0.744,37.6747257,-101.1675259
3,A1 SH,2893,92.39,0.526,7.6,16.89,,1,0.718,37.6747257,-101.1675259
2,A1 SH,2893.5,91.94,0.526,4.6,16.31,,1,0.692,37.6747257,-101.1675259
2,A1 SH,2894,88.21,0.525,2.9,15.33,,1,0.667,37.6747257,-101.1675259
2,A1 SH,2894.5,83.2,0.524,1.9,14.215,,1,0.641,37.6747257,-101.1675259
2,A1 SH,2895,78.23,0.513,3,13.495,,1,0.615,37.6747257,-101.1675259
2,A1 SH,2895.5,74.22,0.5,5,11.365,,1,0.59,37.6747257,-101.1675259
2,A1 SH,2896,72.36,0.48,6.6,10.045,,1,0.564,37.6747257,-101.1675259
2,A1 SH,2896.5,72.84,0.465,7.2,9.62,,1,0.538,37.6747257,-101.1675259
2,A1 SH,2897,74.19,0.455,8,9.64,,1,0.513,37.6747257,-101.1675259
2,A1 SH,2897.5,76.62,0.449,8.8,10.5,,1,0.487,37.6747257,-101.1675259
2,A1 SH,2898,81.29,0.449,9.2,12.785,,1,0.462,37.6747257,-101.1675259
2,A1 SH,2898.5,85.5,0.461,9.9,13.55,,1,0.436,37.6747257,-101.1675259
2,A1 SH,2899,88.29,0.476,10.3,13.985,,1,0.41,37.6747257,-101.1675259
2,A1 SH,2899.5,91.3,0.484,9.7,13.965,,1,0.385,37.6747257,-101.1675259
3,A1 SH,2900,82,0.49,8.3,13.335,,1,0.359,37.6747257,-101.1675259
3,A1 SH,2900.5,71.62,0.49,7.5,12.88,,1,0.333,37.6747257,-101.1675259
2,A1 SH,2901,67.4,0.483,7.2,12.685,,1,0.308,37.6747257,-101.1675259
3,A1 SH,2901.5,65.4,0.476,7.5,12.325,,1,0.282,37.6747257,-101.1675259
9,A1 SH,2902,64.21,0.471,10.2,10.935,,2,0.256,37.6747257,-101.1675259
9,A1 SH,2902.5,63.82,0.467,11.2,10.655,,2,0.231,37.6747257,-101.1675259
9,A1 SH,2903,64.74,0.458,15.1,12.705,,2,0.205,37.6747257,-101.1675259
3,A1 SH,2904,81.89,0.42,16.3,19.14,,1,0.154,37.6747257,-101.1675259
3,A1 SH,2904.5,83.53,0.371,14.9,19.16,,1,0.128,37.6747257,-101.1675259
2,A1 SH,2905,83.06,0.316,14.8,19.5,,1,0.103,37.6747257,-101.1675259
2,A1 SH,2905.5,81.58,0.279,15.7,19.945,,1,0.077,37.6747257,-101.1675259
3,A1 SH,2906,77.83,0.272,17.3,19.285,,1,0.051,37.6747257,-101.1675259
3,A1 SH,2906.5,65.11,0.279,15.2,17.42,,1,0.026,37.6747257,-101.1675259
9,A1 LM,2907,32.58,0.29,10.3,14.52,,2,1,37.6747257,-101.1675259
9,A1 LM,2907.5,25.14,0.294,7.1,12.48,,2,0.985,37.6747257,-101.1675259
7,A1 LM,2908,26.51,0.29,7.1,10.91,,2,0.969,37.6747257,-101.1675259
7,A1 LM,2908.5,29.78,0.265,8.1,9.05,,2,0.954,37.6747257,-101.1675259
6,A1 LM,2909,33.06,0.248,8.6,8.275,,2,0.938,37.6747257,-101.1675259
6,A1 LM,2910,37.78,0.22,9.2,8.05,,2,0.908,37.6747257,-101.1675259
6,A1 LM,2910.5,40.84,0.212,14.8,10.76,,2,0.892,37.6747257,-101.1675259
7,A1 LM,2911,44.08,0.207,16,11.275,,2,0.877,37.6747257,-101.1675259
7,A1 LM,2911.5,48.24,0.21,9.8,14.97,,2,0.862,37.6747257,-101.1675259
7,A1 LM,2912,51.21,0.228,8.1,16.025,,2,0.846,37.6747257,-101.1675259
7,A1 LM,2912.5,55.57,0.253,7.9,15.985,,2,0.831,37.6747257,-101.1675259
4,A1 LM,2913,64.21,0.299,7.4,15.785,,2,0.815,37.6747257,-101.1675259
4,A1 LM,2913.5,78.65,0.398,8.2,13.805,,2,0.8,37.6747257,-101.1675259
4,A1 LM,2914,97.66,0.52,9.7,12.34,,2,0.785,37.6747257,-101.1675259
4,A1 LM,2914.5,101.57,0.636,10.1,12.02,,2,0.769,37.6747257,-101.1675259
4,A1 LM,2915,102.02,0.679,9.4,11.33,,2,0.754,37.6747257,-101.1675259
4,A1 LM,2915.5,100.87,0.658,7.6,10.135,,2,0.738,37.6747257,-101.1675259
8,A1 LM,2916,88.36,0.646,7,9.58,,2,0.723,37.6747257,-101.1675259
6,A1 LM,2916.5,73.88,0.635,5.2,10.145,,2,0.708,37.6747257,-101.1675259
6,A1 LM,2917,62.49,0.635,4.2,10.515,,2,0.692,37.6747257,-101.1675259
5,A1 LM,2917.5,61.08,0.641,4.5,10.465,,2,0.677,37.6747257,-101.1675259
5,A1 LM,2918,64.32,0.66,6.7,10.575,,2,0.662,37.6747257,-101.1675259
6,A1 LM,2918.5,66.04,0.671,9.1,11.38,,2,0.646,37.6747257,-101.1675259
6,A1 LM,2919,66.61,0.691,10.8,12.17,,2,0.631,37.6747257,-101.1675259
6,A1 LM,2919.5,66.14,0.713,11.6,12.41,,2,0.615,37.6747257,-101.1675259
8,A1 LM,2920,68.24,0.735,10,11.64,,2,0.6,37.6747257,-101.1675259
8,A1 LM,2920.5,70.81,0.752,5.9,10.36,,2,0.585,37.6747257,-101.1675259
8,A1 LM,2921,72.59,0.757,3.7,10.405,,2,0.569,37.6747257,-101.1675259
8,A1 LM,2921.5,77.22,0.769,2.5,10.465,,2,0.554,37.6747257,-101.1675259
8,A1 LM,2922,101.82,0.762,1.8,10.6,,2,0.538,37.6747257,-101.1675259
8,A1 LM,2922.5,115.43,0.756,1,10.755,,2,0.523,37.6747257,-101.1675259
6,A1 LM,2923,119.82,0.725,0.5,10.775,,2,0.508,37.6747257,-101.1675259
6,A1 LM,2923.5,120.82,0.675,0.6,10.315,,2,0.492,37.6747257,-101.1675259
5,A1 LM,2924,118.48,0.619,1.8,9.51,,2,0.477,37.6747257,-101.1675259
5,A1 LM,2924.5,89.64,0.571,2.4,9.555,,2,0.462,37.6747257,-101.1675259
6,A1 LM,2925,60.79,0.53,3.3,9.86,,2,0.446,37.6747257,-101.1675259
6,A1 LM,2925.5,33.46,0.501,4.3,10.16,,2,0.431,37.6747257,-101.1675259
5,A1 LM,2926,27.41,0.483,5,10.62,,2,0.415,37.6747257,-101.1675259
