Facies,Formation,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Latitude,Longitude
3,A1 SH,2917.5,63.5,0.705,4.916,12.174,3.162,1,1,37.3564256,-101.1060452
3,A1 SH,2918,80.875,0.709,7.514,13.286,2.932,1,0.95,37.3564256,-101.1060452
3,A1 SH,2918.5,87.813,0.7,7.785,13.212,2.953,1,0.9,37.3564256,-101.1060452
3,A1 SH,2919,86.75,0.685,7.547,13.547,3.42,1,0.85,37.3564256,-101.1060452
3,A1 SH,2919.5,79.438,0.669,5.912,12.252,3.324,1,0.8,37.3564256,-101.1060452
2,A1 SH,2920,77.5,0.658,4.537,11.332,3.324,1,0.75,37.3564256,-101.1060452
2,A1 SH,2920.5,72.75,0.658,3.974,11.114,3.127,1,0.7,37.3564256,-101.1060452
2,A1 SH,2921,76.563,0.671,4.98,14.746,2.818,1,0.65,37.3564256,-101.1060452
2,A1 SH,2921.5,79.625,0.686,4.552,18.202,2.684,1,0.6,37.3564256,-101.1060452
1,A1 SH,2922,74.25,0.687,3.621,17.961,2.557,1,0.55,37.3564256,-101.1060452
1,A1 SH,2922.5,71,0.679,1.003,14.769,2.787,1,0.5,37.3564256,-101.1060452
1,A1 SH,2923,67.438,0.66,0.746,11.998,2.795,1,0.45,37.3564256,-101.1060452
1,A1 SH,2923.5,70,0.643,1.838,10.809,2.635,1,0.4,37.3564256,-101.1060452
1,A1 SH,2924,66.438,0.644,2.744,11.025,2.621,1,0.35,37.3564256,-101.1060452
1,A1 SH,2924.5,67.25,0.652,2.922,11.776,2.59,1,0.3,37.3564256,-101.1060452
1,A1 SH,2925,71.563,0.661,3.286,12.485,2.9,1,0.25,37.3564256,-101.1060452
1,A1 SH,2925.5,70.125,0.68,5.487,13.312,3.063,1,0.2,37.3564256,-101.1060452
3,A1 SH,2926,69.25,0.734,4.784,13.527,3.01,1,0.1,37.3564256,-101.1060452
3,A1 SH,2926.5,65.625,0.77,1.439,10.182,3.277,1,0.05,37.3564256,-101.1060452
8,A1 LM,2927,53.125,0.826,1.122,4.835,4.008,2,1,37.3564256,-101.1060452
