Facies,Formation,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Latitude,Longitude
3,A1 SH,2610.5,74.9,0.782,9.3,11.75,4.084,1,1,37.4499614,-101.6121913
3,A1 SH,2611,83.8,0.745,12,13.1,3.501,1,0.981,37.4499614,-101.6121913
3,A1 SH,2611.5,86.97,0.726,12.9,12.55,3.4,1,0.962,37.4499614,-101.6121913
3,A1 SH,2612,84.43,0.708,13.2,12,3.4,1,0.943,37.4499614,-101.6121913
3,A1 SH,2612.5,78.51,0.708,11.8,11.4,3.4,1,0.925,37.4499614,-101.6121913
3,A1 SH,2613,73.88,0.708,11.3,11.55,3.5,1,0.906,37.4499614,-101.6121913
2,A1 SH,2613.5,71.61,0.717,11.5,11.25,3.6,1,0.887,37.4499614,-101.6121913
2,A1 SH,2614,69.86,0.726,11.7,11.05,3.7,1,0.868,37.4499614,-101.6121913
2,A1 SH,2614.5,69.25,0.736,11.1,10.65,3.7,1,0.849,37.4499614,-101.6121913
2,A1 SH,2615,68.29,0.726,8.6,9.7,3.7,1,0.83,37.4499614,-101.6121913
2,A1 SH,2615.5,68.5,0.717,7.8,9.8,3.7,1,0.811,37.4499614,-101.6121913
2,A1 SH,2616,73.65,0.675,6.3,10.65,3.5,1,0.792,37.4499614,-101.6121913
2,A1 SH,2616.5,92.68,0.567,9.2,13.2,3.3,1,0.774,37.4499614,-101.6121913
2,A1 SH,2617,107.22,0.483,11.3,15.75,3.3,1,0.755,37.4499614,-101.6121913
2,A1 SH,2617.5,132.81,0.436,16.7,19.65,3.4,1,0.736,37.4499614,-101.6121913
2,A1 SH,2618,151.94,0.399,0,29.9,3.6,1,0.717,37.4499614,-101.6121913
2,A1 SH,2618.5,154.37,0.39,3.1,31.45,3.4,1,0.698,37.4499614,-101.6121913
2,A1 SH,2619,153.77,0.39,8.4,34.1,3,1,0.679,37.4499614,-101.6121913
2,A1 SH,2619.5,132.29,0.39,8.2,34.1,2.8,1,0.66,37.4499614,-101.6121913
3,A1 SH,2620,102.28,0.418,0,30,2.6,1,0.642,37.4499614,-101.6121913
3,A1 SH,2620.5,77.82,0.436,17.9,20.15,2.4,1,0.623,37.4499614,-101.6121913
3,A1 SH,2621,67.52,0.446,10.1,12.25,2.5,1,0.604,37.4499614,-101.6121913
3,A1 SH,2621.5,61.32,0.455,7,8.1,2.8,1,0.585,37.4499614,-101.6121913
2,A1 SH,2622,58.69,0.455,7.1,7.95,3,1,0.566,37.4499614,-101.6121913
2,A1 SH,2622.5,54.36,0.465,6.3,8.55,3.3,1,0.547,37.4499614,-101.6121913
2,A1 SH,2623,52.75,0.455,4.8,10.4,3.5,1,0.528,37.4499614,-101.6121913
2,A1 SH,2623.5,51.96,0.465,4.7,11.15,3.4,1,0.509,37.4499614,-101.6121913
2,A1 SH,2624,54.01,0.483,4.5,11.65,3.4,1,0.491,37.4499614,-101.6121913
2,A1 SH,2624.5,54.16,0.493,4.6,12.2,3.4,1,0.472,37.4499614,-101.6121913
2,A1 SH,2625,54.27,0.493,5.1,12.95,3.4,1,0.453,37.4499614,-101.6121913
2,A1 SH,2625.5,55.84,0.483,4.7,13.35,3.6,1,0.434,37.4499614,-101.6121913
2,A1 SH,2626,57.43,0.446,4.8,13.5,3.6,1,0.415,37.4499614,-101.6121913
2,A1 SH,2626.5,58.22,0.362,4.9,13.75,3.5,1,0.396,37.4499614,-101.6121913
2,A1 SH,2627,58.88,0.315,4,14.6,3.3,1,0.377,37.4499614,-101.6121913
2,A1 SH,2627.5,60.6,0.306,4.5,15.25,3.2,1,0.358,37.4499614,-101.6121913
2,A1 SH,2628,62.57,0.296,4.7,15.35,3.1,1,0.34,37.4499614,-101.6121913
2,A1 SH,2628.5,66.19,0.32,5.3,15.35,3.1,1,0.321,37.4499614,-101.6121913
2,A1 SH,2629,78.95,0.347,7.3,14.85,3.1,1,0.302,37.4499614,-101.6121913
2,A1 SH,2629.5,84.77,0.373,8.6,14.3,3.1,1,0.283,37.4499614,-101.6121913
2,A1 SH,2630,80.83,0.398,8.6,13.4,3.1,1,0.264,37.4499614,-101.6121913
2,A1 SH,2630.5,66.48,0.421,6.5,12.35,3.1,1,0.245,37.4499614,-101.6121913
2,A1 SH,2631,63.09,0.441,3.9,11.15,3.1,1,0.226,37.4499614,-101.6121913
2,A1 SH,2631.5,62.7,0.465,3.9,10.95,3.1,1,0.208,37.4499614,-101.6121913
2,A1 SH,2632,63.45,0.465,4.3,11.05,3.1,1,0.189,37.4499614,-101.6121913
2,A1 SH,2632.5,66.94,0.446,5.6,11.8,3.1,1,0.17,37.4499614,-101.6121913
2,A1 SH,2633,77.94,0.436,6.7,13.05,3.2,1,0.151,37.4499614,-101.6121913
2,A1 SH,2633.5,81.4,0.418,8.1,14.15,3.2,1,0.132,37.4499614,-101.6121913
3,A1 SH,2634,80.74,0.399,9.9,15.75,3.2,1,0.113,37.4499614,-101.6121913
2,A1 SH,2634.5,76.45,0.39,10.6,16.5,3.2,1,0.094,37.4499614,-101.6121913
2,A1 SH,2635,74.99,0.38,11,17,3.1,1,0.075,37.4499614,-101.6121913
2,A1 SH,2635.5,75.21,0.38,14.2,19.5,3.1,1,0.057,37.4499614,-101.6121913
2,A1 SH,2636,75.05,0.385,12.6,23.3,3.1,1,0.038,37.4499614,-101.6121913
2,A1 SH,2636.5,62.14,0.413,9.5,24.65,3.1,1,0.019,37.4499614,-101.6121913
8,A1 LM,2637,46.66,0.458,2.8,21.4,3.2,2,1,37.4499614,-101.6121913
8,A1 LM,2637.5,29.68,0.499,4.6,16.7,3.4,2,0.985,37.4499614,-101.6121913
8,A1 LM,2638,18.97,0.558,-0.3,11.35,3.9,2,0.97,37.4499614,-101.6121913
8,A1 LM,2638.5,17.66,0.651,0.4,7.3,4.4,2,0.955,37.4499614,-101.6121913
8,A1 LM,2639,18.02,0.736,0.5,5.15,4.8,2,0.94,37.4499614,-101.6121913
8,A1 LM,2639.5,20.47,0.81,3.1,4.15,4.9,2,0.925,37.4499614,-101.6121913
8,A1 LM,2640,26.7,0.848,4,4.4,4.8,2,0.91,37.4499614,-101.6121913
8,A1 LM,2640.5,33.18,0.866,6.8,6,4.6,2,0.896,37.4499614,-101.6121913
8,A1 LM,2641,42.67,0.866,8,7.4,4.4,2,0.881,37.4499614,-101.6121913
8,A1 LM,2641.5,51.37,0.782,10.1,8.85,3.8,2,0.866,37.4499614,-101.6121913
6,A1 LM,2642,54.26,0.745,12.6,10.4,3.6,2,0.851,37.4499614,-101.6121913
6,A1 LM,2642.5,56.67,0.736,12.8,10.7,3.6,2,0.836,37.4499614,-101.6121913
6,A1 LM,2643,57.35,0.736,12.3,10.95,3.7,2,0.821,37.4499614,-101.6121913
6,A1 LM,2643.5,62.93,0.736,11.1,11.55,3.8,2,0.806,37.4499614,-101.6121913
6,A1 LM,2644,66.49,0.745,10,11,3.9,2,0.791,37.4499614,-101.6121913
6,A1 LM,2644.5,64.2,0.754,7.2,9.3,4,2,0.776,37.4499614,-101.6121913
6,A1 LM,2645,58.09,0.801,2.5,6.55,4.1,2,0.761,37.4499614,-101.6121913
6,A1 LM,2645.5,55,0.904,2.5,4.95,4.1,2,0.746,37.4499614,-101.6121913
6,A1 LM,2646,55.97,0.923,2.5,4.85,4.1,2,0.731,37.4499614,-101.6121913
6,A1 LM,2646.5,58.81,0.913,3.1,6.05,4.1,2,0.716,37.4499614,-101.6121913
6,A1 LM,2647,67.1,0.885,5.4,8.3,4,2,0.701,37.4499614,-101.6121913
6,A1 LM,2647.5,77.82,0.866,8.2,10.7,4,2,0.687,37.4499614,-101.6121913
4,A1 LM,2648,115.71,0.829,8.2,11.5,3.9,2,0.672,37.4499614,-101.6121913
4,A1 LM,2648.5,145.34,0.81,8.1,11.55,3.7,2,0.657,37.4499614,-101.6121913
4,A1 LM,2649,195.89,0.801,8,11.5,3.7,2,0.642,37.4499614,-101.6121913
4,A1 LM,2649.5,191.22,0.81,8.3,11.25,3.6,2,0.627,37.4499614,-101.6121913
4,A1 LM,2650,177.59,0.82,7,9.7,3.6,2,0.612,37.4499614,-101.6121913
4,A1 LM,2650.5,151.13,0.866,5.6,7.7,3.6,2,0.597,37.4499614,-101.6121913
8,A1 LM,2651,116.51,0.932,3,5.2,3.8,2,0.582,37.4499614,-101.6121913
8,A1 LM,2651.5,58.47,0.96,2,3.4,4.4,2,0.567,37.4499614,-101.6121913
8,A1 LM,2652,56.71,0.951,2.1,3.25,5,2,0.552,37.4499614,-101.6121913
8,A1 LM,2652.5,64.91,0.923,5.4,5.5,5,2,0.537,37.4499614,-101.6121913
8,A1 LM,2653,74.3,0.885,10.1,8.65,4.8,2,0.522,37.4499614,-101.6121913
4,A1 LM,2653.5,85.32,0.829,9.8,11.4,4.6,2,0.507,37.4499614,-101.6121913
4,A1 LM,2654,97.02,0.754,11.9,13.75,4.3,2,0.493,37.4499614,-101.6121913
4,A1 LM,2654.5,94.31,0.717,10.7,14.45,4.1,2,0.478,37.4499614,-101.6121913
4,A1 LM,2655,88.35,0.689,10.2,14.7,3.9,2,0.463,37.4499614,-101.6121913
4,A1 LM,2655.5,87.22,0.66,9.9,14.85,3.8,2,0.448,37.4499614,-101.6121913
4,A1 LM,2656,85.82,0.628,9.6,14.8,3.8,2,0.433,37.4499614,-101.6121913
4,A1 LM,2656.5,85.68,0.614,9.6,14.8,3.7,2,0.418,37.4499614,-101.6121913
4,A1 LM,2657,86.5,0.623,9.4,14.9,3.7,2,0.403,37.4499614,-101.6121913
4,A1 LM,2657.5,88.5,0.623,9.1,15.05,3.6,2,0.388,37.4499614,-101.6121913
4,A1 LM,2658,88.84,0.623,8.7,14.95,3.6,2,0.373,37.4499614,-101.6121913
4,A1 LM,2658.5,83.21,0.633,8.6,14.8,3.4,2,0.358,37.4499614,-101.6121913
4,A1 LM,2659,71.5,0.633,8.7,14.65,3.3,2,0.343,37.4499614,-101.6121913
4,A1 LM,2659.5,67.33,0.661,9.2,14.3,3.4,2,0.328,37.4499614,-101.6121913
4,A1 LM,2660,61.32,0.689,9.5,13.95,3.5,2,0.313,37.4499614,-101.6121913
4,A1 LM,2660.5,55.48,0.764,8.5,13.05,3.6,2,0.299,37.4499614,-101.6121913
6,A1 LM,2661,51.6,0.857,3.8,10.1,3.7,2,0.284,37.4499614,-101.6121913
6,A1 LM,2661.5,47.71,0.838,3.2,9,3.8,2,0.269,37.4499614,-101.6121913
6,A1 LM,2662,48.07,0.801,3.2,8.9,3.8,2,0.254,37.4499614,-101.6121913
4,A1 LM,2662.5,49.41,0.754,3.4,9.3,3.8,2,0.239,37.4499614,-101.6121913
4,A1 LM,2663,66.1,0.689,3.7,10.35,3.8,2,0.224,37.4499614,-101.6121913
4,A1 LM,2663.5,76.15,0.633,4.7,11.75,3.6,2,0.209,37.4499614,-101.6121913
4,A1 LM,2664,92.92,0.595,7.6,14.1,3.3,2,0.194,37.4499614,-101.6121913
4,A1 LM,2664.5,100.69,0.577,7.8,16.3,3.2,2,0.179,37.4499614,-101.6121913
4,A1 LM,2665,101.16,0.605,7.4,18.6,2.5,2,0.164,37.4499614,-101.6121913
4,A1 LM,2665.5,97.59,0.654,4.5,20.95,2.8,2,0.149,37.4499614,-101.6121913
4,A1 LM,2666,87.35,0.711,4.7,20.85,3.1,2,0.134,37.4499614,-101.6121913
6,A1 LM,2666.5,72.1,0.761,6.8,13.5,3.3,2,0.119,37.4499614,-101.6121913
6,A1 LM,2667,64.79,0.806,7.5,9.75,3.8,2,0.104,37.4499614,-101.6121913
6,A1 LM,2667.5,62.31,0.848,6.4,8.3,3.9,2,0.09,37.4499614,-101.6121913
6,A1 LM,2668,56.83,0.894,5,7.2,3.8,2,0.075,37.4499614,-101.6121913
8,A1 LM,2668.5,52.34,0.904,1.7,5.45,3.8,2,0.06,37.4499614,-101.6121913
8,A1 LM,2669,48.52,0.904,-4.3,8.35,4,2,0.045,37.4499614,-101.6121913
8,A1 LM,2669.5,54.95,0.885,-12.3,12.45,4,2,0.03,37.4499614,-101.6121913
8,A1 LM,2670,61.02,0.838,-14.4,17.3,3.8,2,0.015,37.4499614,-101.6121913
3,B1 SH,2670.5,66.93,0.745,-13.4,21.8,3.6,1,1,37.4499614,-101.6121913
3,B1 SH,2671,70.41,0.708,-6.3,21.75,3.2,1,0.974,37.4499614,-101.6121913
3,B1 SH,2671.5,73.06,0.661,-1,20,3.1,1,0.949,37.4499614,-101.6121913
3,B1 SH,2672,75.05,0.623,0.3,20.35,3,1,0.923,37.4499614,-101.6121913
3,B1 SH,2672.5,76.58,0.614,1.1,21.15,2.9,1,0.897,37.4499614,-101.6121913
3,B1 SH,2673,79.26,0.614,1,24.1,2.8,1,0.872,37.4499614,-101.6121913
3,B1 SH,2673.5,80.34,0.614,6.3,23.55,2.7,1,0.846,37.4499614,-101.6121913
3,B1 SH,2674,80.13,0.614,6.8,23.7,2.6,1,0.821,37.4499614,-101.6121913
3,B1 SH,2674.5,76.51,0.623,6.6,23.6,2.6,1,0.795,37.4499614,-101.6121913
3,B1 SH,2675,74.52,0.642,3.3,24.25,2.6,1,0.769,37.4499614,-101.6121913
2,B1 SH,2675.5,73.2,0.67,0.1,23.65,2.6,1,0.744,37.4499614,-101.6121913
2,B1 SH,2676,69.51,0.698,4,17.9,2.7,1,0.718,37.4499614,-101.6121913
2,B1 SH,2676.5,64.97,0.736,4.6,16,2.8,1,0.692,37.4499614,-101.6121913
2,B1 SH,2677,65.21,0.736,6.3,14.85,3,1,0.667,37.4499614,-101.6121913
2,B1 SH,2677.5,65.7,0.736,7.4,13.6,3.1,1,0.641,37.4499614,-101.6121913
2,B1 SH,2678,65.24,0.717,9,11.6,3.3,1,0.615,37.4499614,-101.6121913
2,B1 SH,2678.5,63.2,0.717,9.2,10.7,3.6,1,0.59,37.4499614,-101.6121913
2,B1 SH,2679,61.71,0.676,6.7,11.15,3.7,1,0.564,37.4499614,-101.6121913
2,B1 SH,2679.5,60.3,0.624,4.3,11.05,3.6,1,0.538,37.4499614,-101.6121913
2,B1 SH,2680,58.7,0.565,2.5,11.65,3.5,1,0.513,37.4499614,-101.6121913
2,B1 SH,2680.5,56.18,0.511,0.8,11.7,3.3,1,0.487,37.4499614,-101.6121913
2,B1 SH,2681,55.11,0.483,0.4,11.6,3,1,0.462,37.4499614,-101.6121913
2,B1 SH,2681.5,54.51,0.436,0.5,11.55,3,1,0.436,37.4499614,-101.6121913
2,B1 SH,2682,55.3,0.411,0.8,11.5,2.9,1,0.41,37.4499614,-101.6121913
2,B1 SH,2682.5,55.56,0.39,1.2,11.6,2.9,1,0.385,37.4499614,-101.6121913
2,B1 SH,2683,54.92,0.362,1.1,11.75,2.8,1,0.359,37.4499614,-101.6121913
2,B1 SH,2683.5,54.92,0.352,1,11.9,2.8,1,0.333,37.4499614,-101.6121913
2,B1 SH,2684,55.63,0.362,0.9,11.85,2.9,1,0.308,37.4499614,-101.6121913
2,B1 SH,2684.5,57.6,0.371,1,11.7,2.9,1,0.282,37.4499614,-101.6121913
2,B1 SH,2685,60.83,0.371,1.7,11.45,3,1,0.256,37.4499614,-101.6121913
2,B1 SH,2685.5,62.86,0.38,2.4,11.6,3.1,1,0.231,37.4499614,-101.6121913
