Facies,Formation,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Latitude,Longitude
3,A1 SH,2826,76.34,0.719,7.8,11,3.7,1,1,37.32596,-101.32513
3,A1 SH,2826.5,83.74,0.688,9.7,12.55,3.4,1,0.977,37.32596,-101.32513
3,A1 SH,2827,83.19,0.664,10.1,11.95,3.4,1,0.953,37.32596,-101.32513
3,A1 SH,2827.5,80.44,0.648,10.1,11.15,3.4,1,0.93,37.32596,-101.32513
3,A1 SH,2828,75.42,0.648,9.3,11.45,3.3,1,0.907,37.32596,-101.32513
3,A1 SH,2828.5,71.5,0.663,9.2,11.6,3.3,1,0.884,37.32596,-101.32513
3,A1 SH,2829,69.63,0.685,8.7,11.35,3.3,1,0.86,37.32596,-101.32513
3,A1 SH,2829.5,70.01,0.705,8.6,11.1,3.4,1,0.837,37.32596,-101.32513
3,A1 SH,2830,67.56,0.717,8.6,10.8,3.4,1,0.814,37.32596,-101.32513
3,A1 SH,2830.5,67.33,0.719,7.3,10.75,3.4,1,0.791,37.32596,-101.32513
3,A1 SH,2831,64.77,0.718,6.3,10.45,3.3,1,0.767,37.32596,-101.32513
3,A1 SH,2831.5,64.8,0.715,5.7,10.05,3.4,1,0.744,37.32596,-101.32513
2,A1 SH,2832,66.25,0.716,4.9,10.45,3.5,1,0.721,37.32596,-101.32513
2,A1 SH,2832.5,66.55,0.719,6.4,10.4,3.5,1,0.698,37.32596,-101.32513
2,A1 SH,2833,66.13,0.723,7.9,9.85,3.5,1,0.674,37.32596,-101.32513
2,A1 SH,2833.5,65.54,0.723,8.1,8.65,3.5,1,0.651,37.32596,-101.32513
2,A1 SH,2834,63.07,0.721,5.5,7.75,3.5,1,0.628,37.32596,-101.32513
2,A1 SH,2834.5,59.71,0.72,3.7,7.05,3.4,1,0.605,37.32596,-101.32513
2,A1 SH,2835,57.86,0.721,2.2,7.1,3.3,1,0.581,37.32596,-101.32513
2,A1 SH,2835.5,54.8,0.723,1,7.4,3.3,1,0.558,37.32596,-101.32513
2,A1 SH,2836,51.8,0.722,0.6,7.5,3.3,1,0.535,37.32596,-101.32513
